Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2021-12-28,Taxi Driver,1976,https://boxd.it/2pa1MV,4,,"I can see where Joker (2019) got it’s inspiration from. It was honestly uncomfortable to watch but that’s what made it entertaining personally. The evolution of a PTSD mind, in a city, in a dirty decade was quite unnerving to watch. Great ending to it too!",,2021-12-27
2021-12-29,Free Guy,2021,https://boxd.it/2ph2Z1,3,,it was pretty entertaining! kind of corny at the end but i was a fan of the cast so it was enjoyable throughout!,,
2021-12-29,Gangs of New York,2002,https://boxd.it/2ppjHz,2,,"interesting but really wasn’t my vibe, performances by DDL and Leo were pretty great though!",,2021-12-29
2021-12-30,The Pursuit of Happyness,2006,https://boxd.it/2pFWPf,4.5,Yes,"love dramas and emotional movies like this, easy to get into and def had me hooked the entire time",,2021-12-29
2021-12-30,Uncut Gems,2019,https://boxd.it/2pFXv1,4,,"adam sandler proved that he can do more than just slapstick comedy movies. even though i’m a huge fan of those “stupid humour” movies, i thoroughly enjoyed this thriller with that crazy ending",,2021-12-29
2022-01-08,Forrest Gump,1994,https://boxd.it/2s4Rkz,5,,i can’t stand jenny,,2022-01-07
2022-01-08,Blades of Glory,2007,https://boxd.it/2s4RSr,4,,we’re gonna skate to one song and one song only,,2022-01-07
2022-01-08,Falling Down,1993,https://boxd.it/2s8Swp,3.5,,"yeezy said it best

time to take it too far now, michael douglas out the car now",,2022-01-08
2022-01-09,Billy Madison,1995,https://boxd.it/2slNY5,2.5,,how does adam sandler always secure the girl?,,2022-01-08
2022-01-15,Big,1988,https://boxd.it/2tXJPj,4,,piano scene is wholesome asf,,2022-01-15
2022-01-30,Big Hero 6,2014,https://boxd.it/2xcwml,4.5,Yes,literally the only reason why i fist bump people,,2022-01-30
2022-02-06,Action U.S.A.,1989,https://boxd.it/2ytjMX,2.5,,the only reason i didn’t give it a 1 was because of the gas station explosion,,2022-02-05
2022-02-06,Death Spa,1988,https://boxd.it/2yukmN,2,,bro why was there a mic blatantly in the scene?,,2022-02-05
2022-02-23,The Trial of the Chicago 7,2020,https://boxd.it/2BFVrz,5,,Phenomenal.,,2022-02-23
2022-04-21,The Pianist,2002,https://boxd.it/2M0zjv,4,,"heart wrenching movie, it’s scary to see how people were treated in poland during WW2. scary to see how history seems to be repeating itself to this day",,2022-04-20
2022-10-10,Hachi: A Dog's Tale,2009,https://boxd.it/3jel9h,4.5,,"Great movie, I didn’t even know it was based on a true story!",,2022-10-09
2022-12-16,Everything Everywhere All at Once,2022,https://boxd.it/3xk5UT,5,,pixar you have 48 hours to make raccacoonie,,2022-12-15
2023-01-09,WALL·E,2008,https://boxd.it/3FHtgB,5,,the chubby people were funny and scary,,2023-01-08
2023-01-10,Diary of a Wimpy Kid: Rodrick Rules,2011,https://boxd.it/3G52Dr,4.5,,rodrick crying at patty’s performance shows the true range of this rockstar,,2023-01-09
2023-01-10,Diary of a Wimpy Kid: Dog Days,2012,https://boxd.it/3G6aGF,3,,greg is a worse villain than jenny from forrest gump,,2023-01-09
2023-01-14,Mr. Bean's Holiday,2007,https://boxd.it/3HmZ3b,4,,oui oui oui oui,,2023-01-13
2023-01-27,Coach Carter,2005,https://boxd.it/3LM3U5,5,,how is clyde supposed to count ALL of them doing push-ups and suicides?,,2023-01-26
2023-01-31,Meet the Robinsons,2007,https://boxd.it/3N2R61,4.5,Yes,how the heck Joe Robinson pulled Aunt Billie i will never know,,2023-01-30
2023-02-06,Zootopia,2016,https://boxd.it/3OZBjP,3.5,,jesse and woolter???,,2023-02-06
2023-02-17,Ron's Gone Wrong,2021,https://boxd.it/3ROWKn,2.5,,ipad kid meets capitalistic tech companies meets big hero 6,,2023-02-16
2023-02-23,Behind Enemy Lines,2001,https://boxd.it/3Tz3iV,3.5,,harvey specter moment,,2023-02-22
2023-03-09,Cocaine Bear,2023,https://boxd.it/3XsT5B,3.5,,i wanna get married in a pavilion like structure,,2023-03-08
2023-03-09,Speed,1994,https://boxd.it/3XubQ3,4.5,,if i kept getting pop quizzed i’d probably kill that old guy too,,2023-03-08
2023-03-16,Jumanji,1995,https://boxd.it/3ZsX2z,4,,they literally got into that lady who was taken into an ambulance’s car and no one stopped them,,2023-03-16
2023-03-24,Alvin and the Chipmunks,2007,https://boxd.it/41p733,1.5,,why did i enjoy this so much when i was a kid,,2023-03-23
2023-03-24,Alvin and the Chipmunks: The Squeakquel,2009,https://boxd.it/41yRBt,1,,don’t worry no one forced me to watch all of these. i just hate myself,,2023-03-24
2023-04-04,The Martian,2015,https://boxd.it/44zRhd,4.5,,it took me way too long to realize that this matt damon character wasn’t the same as the one in interstellar,,2023-04-04
2023-04-09,Django Unchained,2012,https://boxd.it/461Sf3,5,,auf wiedersehen 😢,,2023-04-09
2023-04-13,The Room,2003,https://boxd.it/46YGqB,0.5,,it was less than i expected and more,,2023-04-12
2023-04-29,The Super Mario Bros. Movie,2023,https://boxd.it/4b7hlZ,3,,cute depression glowy star thing 👍,,2023-04-28
2023-05-06,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/4dhnLd,4.5,,i wonder if drax would give me a zargnut,,2023-05-06
2023-05-23,RV,2006,https://boxd.it/4hsarH,3.5,,is that bojack horseman?,,2023-05-22
2023-05-24,The Proposal,2009,https://boxd.it/4hJXR9,4.5,,"“Oh, God, not the Baby Maker”",,2023-05-24
2023-05-24,Dr. Dolittle 2,2001,https://boxd.it/4hJYmB,1.5,,Lisa Kudrow as Bear #2,,2023-05-24
2023-06-05,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/4kQefP,5,,the dj trying to save the party 💯,,2023-06-04
2023-06-12,The Little Mermaid,1989,https://boxd.it/4mJchj,3,,but ursula had a legal and binding contract,,2023-06-11
2023-06-16,Cars,2006,https://boxd.it/4nzpor,4.5,,“tuh-mater? but without the tuh”,,2023-06-15
2023-06-16,Cars 2,2011,https://boxd.it/4nABcf,4,,"“Queen? McQueen. McQueen, Queen. McQueen? McMissile. McMissile, McQueen. Queen? McMissile.”",,2023-06-15
2023-06-18,Escape Room,2019,https://boxd.it/4oo8Tf,1.5,,i mean cool concept yeah but fuck i hated jason so much,,2023-06-18
2023-06-22,We Bought a Zoo,2011,https://boxd.it/4puBQl,4,,"seen this movie like a thousand times but after watching dr.dolittle last week, i expected every single animal to be voiced by a comedian",,2023-06-21
2023-06-25,The Blackening,2022,https://boxd.it/4qk4n5,4.5,,when he turned the gun the right way 🙃,,2023-06-24
2023-06-28,Cloudy with a Chance of Meatballs,2009,https://boxd.it/4rcWTH,4,,the fact that not one person was reported as dead during that global food storm is crazy,,2023-06-27
